level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	388	481	2456	3884	-1	
3	1	1	1	0	0	388	481	2448	643	-1	
4	1	1	1	1	0	426	481	2273	225	-1	
5	1	1	1	1	1	426	539	141	70	87.669716	笔画
5	1	1	1	1	2	689	488	144	70	95.351685	汉字
5	1	1	1	1	3	895	480	39	102	94.134331	|
5	1	1	1	1	4	972	487	142	70	95.127602	拼音
5	1	1	1	1	5	1216	481	1043	225	41.352383	|
5	1	1	1	1	6	2402	483	71	72	86.863998	备
5	1	1	1	1	7	2631	486	68	67	56.350731	iE
4	1	1	1	2	0	1853	611	332	71	-1	
5	1	1	1	2	1	1853	611	144	71	91.743713	音标
5	1	1	1	2	2	2042	607	26	100	91.743713	|
5	1	1	1	2	3	2117	612	68	70	85.776260	字
4	1	1	1	3	0	2309	743	483	73	-1	
5	1	1	1	3	1	2309	744	189	72	21.642754	(AM)
5	1	1	1	3	2	2649	744	143	70	21.642754	RAD
4	1	1	1	4	0	388	707	2448	417	-1	
5	1	1	1	4	1	388	707	2448	417	11.582253	sae
5	1	1	1	4	2	2215	515	590	785	34.101471	BEE
4	1	1	1	5	0	2318	1020	134	70	-1	
5	1	1	1	5	1	2318	1020	134	70	41.525860	Gh)
3	1	1	2	0	0	390	1124	2454	3241	-1	
4	1	1	2	1	0	390	1124	2447	163	-1	
5	1	1	2	1	1	390	1124	2447	163	31.394661	fe
5	1	1	2	1	2	1850	1048	336	288	48.195244	ee
5	1	1	2	1	3	2258	1048	576	288	31.216011	fe
4	1	1	2	2	0	391	1284	2446	167	-1	
5	1	1	2	2	1	391	1210	433	291	41.894043	we
5	1	1	2	2	2	896	1210	195	291	45.875263	[me
5	1	1	2	2	3	1163	1284	1674	167	0.000000	famine
5	1	1	2	2	4	2278	1210	559	291	9.774216	PO
4	1	1	2	3	0	391	1447	2447	168	-1	
5	1	1	2	3	1	391	1455	446	160	10.383118	Pe
5	1	1	2	3	2	907	1375	167	284	19.005630	Po
5	1	1	2	3	3	1168	1375	190	284	43.298985	fom
5	1	1	2	3	4	1428	1375	167	284	0.366173	ef
5	1	1	2	3	5	1665	1448	521	163	0.000000	lefe
5	1	1	2	3	6	2280	1447	545	160	0.000000	f
4	1	1	2	4	0	392	1610	2447	166	-1	
5	1	1	2	4	1	392	1541	419	282	37.961750	aw)»
5	1	1	2	4	2	905	1541	306	282	32.737778	[vm]
5	1	1	2	4	3	1328	1616	79	156	53.254772	|
5	1	1	2	4	4	1516	1616	26	156	62.231155	|
5	1	1	2	4	5	1610	1541	94	282	32.714035	(|
5	1	1	2	4	6	1774	1541	424	282	0.000000	[wie
5	1	1	2	4	7	2244	1541	588	282	21.348953	[ae
4	1	1	2	5	0	393	1773	2447	163	-1	
5	1	1	2	5	1	393	1773	2447	163	6.865555	tf
5	1	1	2	5	2	1164	1700	259	282	0.000000	feel
5	1	1	2	5	3	1446	1700	259	282	0.000000	ale|
5	1	1	2	5	4	1728	1700	189	282	0.000000	a)
5	1	1	2	5	5	2057	1700	118	282	34.276649	fe
5	1	1	2	5	6	2245	1700	588	282	41.855629	[ae
4	1	1	2	6	0	394	1935	2446	165	-1	
5	1	1	2	6	1	394	1935	2446	165	24.742828	Al
