initial_raw	final_raw	initial_code	final_code	source_page	status
Ø	a		a	p437-p439	official_seed
Ø	o		o	p437-p439	official_seed
Ø	oe		oe	p437-p439	official_seed
Ø	ae		ae	p437-p439	official_seed
Ø	e		e	p437-p439	official_seed
Ø	i		i	p437-p439	official_seed
Ø	u		u	p437-p439	official_seed
Ø	yu		yu	p437-p439	official_seed
Ø	ao		ao	p437-p439	official_seed
Ø	ai		ai	p437-p439	official_seed
Ø	ou		ou	p437-p439	official_seed
Ø	ei		ei	p437-p439	official_seed
Ø	ia		ia	p437-p439	official_seed
Ø	iao		iao	p437-p439	official_seed
Ø	iou		iou	p437-p439	official_seed
Ø	ie		ie	p437-p439	official_seed
Ø	iae		iae	p437-p439	official_seed
Ø	io		io	p437-p439	official_seed
Ø	uai		uai	p437-p439	official_seed
Ø	uo		uo	p437-p439	official_seed
Ø	uoe		uoe	p437-p439	official_seed
Ø	yo		yo	p437-p439	official_seed
Ø	yue		yue	p437-p439	official_seed
Ø	yoe		yoe	p437-p439	official_seed
Ø	ang		ang	p437-p439	official_seed
Ø	eng		eng	p437-p439	official_seed
Ø	ong		ong	p437-p439	official_seed
Ø	iang		iang	p437-p439	official_seed
Ø	iong		iong	p437-p439	official_seed
Ø	ng		ng	p437-p439	official_seed
b	a	b	a	p437-p439	official_seed
b	o	b	o	p437-p439	official_seed
b	oe	b	oe	p437-p439	official_seed
b	ae	b	ae	p437-p439	official_seed
b	e	b	e	p437-p439	official_seed
b	i	b	i	p437-p439	official_seed
b	u	b	u	p437-p439	official_seed
b	ao	b	ao	p437-p439	official_seed
b	ai	b	ai	p437-p439	official_seed
b	ou	b	ou	p437-p439	official_seed
b	ei	b	ei	p437-p439	official_seed
b	ia	b	ia	p437-p439	official_seed
b	iao	b	iao	p437-p439	official_seed
b	iou	b	iou	p437-p439	official_seed
b	ie	b	ie	p437-p439	official_seed
b	uai	b	uai	p437-p439	official_seed
b	uo	b	uo	p437-p439	official_seed
b	uoe	b	uoe	p437-p439	official_seed
b	ang	b	ang	p437-p439	official_seed
b	eng	b	eng	p437-p439	official_seed
b	ong	b	ong	p437-p439	official_seed
p	a	p	a	p437-p439	official_seed
p	o	p	o	p437-p439	official_seed
p	oe	p	oe	p437-p439	official_seed
p	ae	p	ae	p437-p439	official_seed
p	e	p	e	p437-p439	official_seed
p	i	p	i	p437-p439	official_seed
p	u	p	u	p437-p439	official_seed
p	ao	p	ao	p437-p439	official_seed
p	ai	p	ai	p437-p439	official_seed
p	ou	p	ou	p437-p439	official_seed
p	ei	p	ei	p437-p439	official_seed
p	ia	p	ia	p437-p439	official_seed
p	iao	p	iao	p437-p439	official_seed
p	iou	p	iou	p437-p439	official_seed
p	ie	p	ie	p437-p439	official_seed
p	uai	p	uai	p437-p439	official_seed
p	uo	p	uo	p437-p439	official_seed
p	uoe	p	uoe	p437-p439	official_seed
p	ang	p	ang	p437-p439	official_seed
p	eng	p	eng	p437-p439	official_seed
p	ong	p	ong	p437-p439	official_seed
bb	a	bb	a	p437-p439	official_seed
bb	o	bb	o	p437-p439	official_seed
bb	oe	bb	oe	p437-p439	official_seed
bb	ae	bb	ae	p437-p439	official_seed
bb	e	bb	e	p437-p439	official_seed
bb	i	bb	i	p437-p439	official_seed
bb	u	bb	u	p437-p439	official_seed
bb	ao	bb	ao	p437-p439	official_seed
bb	ai	bb	ai	p437-p439	official_seed
bb	ou	bb	ou	p437-p439	official_seed
bb	ei	bb	ei	p437-p439	official_seed
bb	ia	bb	ia	p437-p439	official_seed
bb	iao	bb	iao	p437-p439	official_seed
bb	iou	bb	iou	p437-p439	official_seed
bb	ie	bb	ie	p437-p439	official_seed
bb	uai	bb	uai	p437-p439	official_seed
bb	uo	bb	uo	p437-p439	official_seed
bb	uoe	bb	uoe	p437-p439	official_seed
bb	ang	bb	ang	p437-p439	official_seed
bb	eng	bb	eng	p437-p439	official_seed
bb	ong	bb	ong	p437-p439	official_seed
m	a	m	a	p437-p439	official_seed
m	o	m	o	p437-p439	official_seed
m	oe	m	oe	p437-p439	official_seed
m	ae	m	ae	p437-p439	official_seed
m	e	m	e	p437-p439	official_seed
m	i	m	i	p437-p439	official_seed
m	u	m	u	p437-p439	official_seed
m	ao	m	ao	p437-p439	official_seed
m	ai	m	ai	p437-p439	official_seed
m	ou	m	ou	p437-p439	official_seed
m	ei	m	ei	p437-p439	official_seed
m	ia	m	ia	p437-p439	official_seed
m	iao	m	iao	p437-p439	official_seed
m	iou	m	iou	p437-p439	official_seed
m	ie	m	ie	p437-p439	official_seed
m	uai	m	uai	p437-p439	official_seed
m	uo	m	uo	p437-p439	official_seed
m	uoe	m	uoe	p437-p439	official_seed
