page	row	column	column_name	text	confidence	bbox	status	note	backend
059	1	1	radical_strokes	部首 笔画	99.94	337,363,229,377	ok		paddleocr
059	1	2	hanzi	汉字	99.78	566,363,303,377	ok		paddleocr
059	1	3	pinyin	拼音	99.99	869,363,263,377	suspicious	pinyin_contains_hanzi	paddleocr
059	1	4	fanqie	反切	99.98	1132,363,227,377	ok		paddleocr
059	1	5	tone	调	99.95	1359,363,137,377	ok		paddleocr
059	1	6	rhyme	韵	98.76	1496,363,138,377	ok		paddleocr
059	1	7	initial	电	19.14	1634,363,136,377	review	low_confidence	paddleocr
059	1	8	ipa	瑞安 国际 音标	99.93	1770,363,226,377	ok		paddleocr
059	1	9	homophone	方音 同音 字	97.86	1996,363,225,377	ok		paddleocr
059	1	10	note	备注	99.98	2221,363,574,377	ok		paddleocr
059	2	1	radical_strokes		0.00	337,740,229,141	review	blank	paddleocr
059	2	2	hanzi	万	99.87	566,740,303,141	ok		paddleocr
059	2	3	pinyin	mò	99.73	869,740,263,141	ok		paddleocr
059	2	4	fanqie	莫北	99.93	1132,740,227,141	ok		paddleocr
059	2	5	tone	人	53.21	1359,740,137,141	ok		paddleocr
059	2	6	rhyme	德	99.94	1496,740,138,141	ok		paddleocr
059	2	7	initial	明	99.87	1634,740,136,141	ok		paddleocr
059	2	8	ipa	mε 0	53.75	1770,740,226,141	ok		paddleocr
059	2	9	homophone	需	96.13	1996,740,225,141	ok		paddleocr
059	2	10	note	万俟（复姓）	84.38	2221,740,574,141	ok		paddleocr
059	3	1	radical_strokes		0.00	337,881,229,144	review	blank	paddleocr
059	3	2	hanzi	万（萬）	85.76	566,881,303,144	ok		paddleocr
059	3	3	pinyin	upm	71.18	869,881,263,144	ok		paddleocr
059	3	4	fanqie	無販	99.79	1132,881,227,144	ok		paddleocr
059	3	5	tone	去	99.99	1359,881,137,144	ok		paddleocr
059	3	6	rhyme	願	98.92	1496,881,138,144	ok		paddleocr
059	3	7	initial	明	99.75	1634,881,136,144	ok		paddleocr
059	3	8	ipa	CA 1	47.78	1770,881,226,144	ok		paddleocr
059	3	9	homophone	饭 *	98.18	1996,881,225,144	ok		paddleocr
059	3	10	note		0.00	2221,881,574,144	review	blank	paddleocr
059	4	1	radical_strokes	三画	99.87	337,1025,229,143	ok		paddleocr
059	4	2	hanzi	丰	99.86	566,1025,303,143	ok		paddleocr
059	4	3	pinyin	uee	23.45	869,1025,263,143	review	low_confidence	paddleocr
059	4	4	fanqie	敷容	99.74	1132,1025,227,143	ok		paddleocr
059	4	5	tone	平	99.95	1359,1025,137,143	ok		paddleocr
059	4	6	rhyme	鍾	99.88	1496,1025,138,143	ok		paddleocr
059	4	7	initial	滂	96.56	1634,1025,136,143	ok		paddleocr
059	4	8	ipa	Cnj	46.18	1770,1025,226,143	ok		paddleocr
059	4	9	homophone	烽	91.65	1996,1025,225,143	ok		paddleocr
059	4	10	note		0.00	2221,1025,574,143	review	blank	paddleocr
059	5	1	radical_strokes		0.00	337,1168,229,141	review	blank	paddleocr
059	5	2	hanzi	丰（豐）	80.42	566,1168,303,141	ok		paddleocr
059	5	3	pinyin	ee	20.58	869,1168,263,141	review	low_confidence	paddleocr
059	5	4	fanqie	敷空	99.72	1132,1168,227,141	ok		paddleocr
059	5	5	tone	平	99.94	1359,1168,137,141	ok		paddleocr
059	5	6	rhyme	東	99.65	1496,1168,138,141	ok		paddleocr
059	5	7	initial	滂	96.63	1634,1168,136,141	ok		paddleocr
059	5	8	ipa	Cmj	41.50	1770,1168,226,141	review	low_confidence	paddleocr
059	5	9	homophone	风 *	96.19	1996,1168,225,141	ok		paddleocr
059	5	10	note		0.00	2221,1168,574,141	review	blank	paddleocr
059	6	1	radical_strokes		0.00	337,1309,229,142	review	blank	paddleocr
059	6	2	hanzi	井	99.80	566,1309,303,142	ok		paddleocr
059	6	3	pinyin	jǐng	99.51	869,1309,263,142	ok		paddleocr
059	6	4	fanqie	子郢	99.90	1132,1309,227,142	ok		paddleocr
059	6	5	tone	上	99.81	1359,1309,137,142	ok		paddleocr
059	6	6	rhyme	静	99.59	1496,1309,138,142	ok		paddleocr
059	6	7	initial	精	99.96	1634,1309,136,142	ok		paddleocr
059	6	8	ipa	esen	29.43	1770,1309,226,142	review	low_confidence	paddleocr
059	6	9	homophone	整 *	98.83	1996,1309,225,142	ok		paddleocr
059	6	10	note		0.00	2221,1309,574,142	review	blank	paddleocr
059	7	1	radical_strokes		0.00	337,1451,229,142	review	blank	paddleocr
059	7	2	hanzi	开（開	87.93	566,1451,303,142	ok		paddleocr
059	7	3	pinyin	kāi	94.44	869,1451,263,142	ok		paddleocr
059	7	4	fanqie	苦哀	99.84	1132,1451,227,142	ok		paddleocr
059	7	5	tone	平	99.98	1359,1451,137,142	ok		paddleocr
059	7	6	rhyme	怡	27.61	1496,1451,138,142	review	low_confidence	paddleocr
059	7	7	initial	溪	99.86	1634,1451,136,142	ok		paddleocr
059	7	8	ipa	ckhε	90.46	1770,1451,226,142	ok		paddleocr
059	7	9	homophone	堪 *	99.09	1996,1451,225,142	ok		paddleocr
