char	code	weight	source	note	old_code	status
一	ia3	1	ruianese.character_01.dict.yaml:24	already valid	ia3	ok
丁	deng1	1	ruianese.character_01.dict.yaml:26	already valid	deng1	ok
丁	zang1	1	ruianese.character_01.dict.yaml:27	already valid	zang1	ok
七	ca3	1	ruianese.character_01.dict.yaml:28	already valid	ca3	ok
三	so1	1	ruianese.character_01.dict.yaml:30	already valid	so1	ok
乾	ge1	1	ruianese.character_01.dict.yaml:32	geu1->ge1; 乾燥	geu1	converted
幹	ge4	1	ruianese.character_01.dict.yaml:33	geu4->ge4; 軀幹，幹嘛	geu4	converted
榦	ge4	1	ruianese.character_01.dict.yaml:34	geu4->ge4; 幹之異體字	geu4	converted
于	ju1	1	ruianese.character_01.dict.yaml:35	no valid mapping; tried ju1	ju1	unresolved
上	xiae6	1	ruianese.character_01.dict.yaml:36	xyiae6->xiae6	xyiae6	converted
上	xiae8	1	ruianese.character_01.dict.yaml:37	xyiae8->xiae8	xyiae8	converted
才	zei5	1	ruianese.character_01.dict.yaml:38	already valid	zei5	ok
纔	zzei6	1	ruianese.character_01.dict.yaml:39	dzei6->zzei6; 副詞才的正字	dzei6	converted
下	hhoe6	1	ruianese.character_01.dict.yaml:40	hhoo6->hhoe6	hhoo6	converted
下	hhoe8	1	ruianese.character_01.dict.yaml:41	hhoo8->hhoe8	hhoo8	converted
丈	jjia6	1	ruianese.character_01.dict.yaml:42	already valid	jjia6	ok
丈	zzia6	1	ruianese.character_01.dict.yaml:43	dzia6->zzia6	dzia6	converted
兀	nge7	1	ruianese.character_01.dict.yaml:44	ngeu7->nge7	ngeu7	converted
與	vju6	1	ruianese.character_01.dict.yaml:45	no valid mapping; tried vju6; 与的正字	vju6	unresolved
與	vju8	1	ruianese.character_01.dict.yaml:46	no valid mapping; tried vju8	vju8	unresolved
與	vju5	1	ruianese.character_01.dict.yaml:47	no valid mapping; tried vju5	vju5	unresolved
万	vo4	1	ruianese.character_01.dict.yaml:48	already valid	vo4	ok
萬	mo5	1	ruianese.character_01.dict.yaml:49	already valid	mo5	ok
丰	fong1	1	ruianese.character_01.dict.yaml:51	already valid	fong1	ok
豐	fong1	1	ruianese.character_01.dict.yaml:52	already valid	fong1	ok
井	zeng2	1	ruianese.character_01.dict.yaml:53	already valid	zeng2	ok
開	ki1	1	ruianese.character_01.dict.yaml:54	already valid; 开的正字	ki1	ok
開	ke1	1	ruianese.character_01.dict.yaml:55	already valid	ke1	ok
夫	fu1	1	ruianese.character_01.dict.yaml:56	fvu1->fu1	fvu1	converted
夫	vu5	1	ruianese.character_01.dict.yaml:57	already valid	vu5	ok
天	tie1	1	ruianese.character_01.dict.yaml:58	already valid	tie1	ok
元	njyu4	1	ruianese.character_01.dict.yaml:59	nyju4->njyu4	nyju4	converted
元	njyue4	1	ruianese.character_01.dict.yaml:60	nyjue4->njyue4	nyjue4	converted
無	vu5	1	ruianese.character_01.dict.yaml:61	already valid	vu5	ok
無	moe5	1	ruianese.character_01.dict.yaml:62	moo5->moe5	moo5	converted
韋	vju5	1	ruianese.character_01.dict.yaml:63	no valid mapping; tried vju5; 韦的正字	vju5	unresolved
專	zjue1	1	ruianese.character_01.dict.yaml:64	no valid mapping; tried zjue1; 专的正字	zjue1	unresolved
專	jyue1	1	ruianese.character_01.dict.yaml:65	already valid	jyue1	ok
專	jyu1	1	ruianese.character_01.dict.yaml:66	already valid	jyu1	ok
丐	ke3	1	ruianese.character_01.dict.yaml:67	keu3->ke3	keu3	converted
丐	ge3	1	ruianese.character_01.dict.yaml:68	geu3->ge3	geu3	converted
廿	nie8	1	ruianese.character_01.dict.yaml:69	already valid	nie8	ok
廿	zza7	1	ruianese.character_01.dict.yaml:70	already valid	zza7	ok
五	ngu6	1	ruianese.character_01.dict.yaml:71	already valid	ngu6	ok
匝	ze3	1	ruianese.character_01.dict.yaml:72	already valid	ze3	ok
帀	ze3	1	ruianese.character_01.dict.yaml:73	already valid	ze3	ok
匝	zo3	1	ruianese.character_01.dict.yaml:74	already valid	zo3	ok
帀	zo3	1	ruianese.character_01.dict.yaml:75	already valid	zo3	ok
丏	mi6	1	ruianese.character_01.dict.yaml:76	already valid	mi6	ok
丏	mie6	1	ruianese.character_01.dict.yaml:77	already valid	mie6	ok
卅	so3	1	ruianese.character_01.dict.yaml:78	already valid	so3	ok
卅	lo7	1	ruianese.character_01.dict.yaml:79	already valid	lo7	ok
不	ba3	1	ruianese.character_01.dict.yaml:80	already valid	ba3	ok
不	de2	1	ruianese.character_01.dict.yaml:81	deu2->de2	deu2	converted
冇	nao6	1	ruianese.character_01.dict.yaml:82	already valid	nao6	ok
友	xiao6	1	ruianese.character_01.dict.yaml:83	xyao6->xiao6	xyao6	converted
友	iao6	1	ruianese.character_01.dict.yaml:84	already valid	iao6	ok
丑	cou2	1	ruianese.character_01.dict.yaml:85	already valid	cou2	ok
醜	cou2	1	ruianese.character_01.dict.yaml:86	already valid; 醜陋	cou2	ok
牙	ngoe5	1	ruianese.character_01.dict.yaml:87	ngoo5->ngoe5	ngoo5	converted
屯	dju5	1	ruianese.character_01.dict.yaml:88	no valid mapping; tried dju5	dju5	unresolved
屯	zong1	1	ruianese.character_01.dict.yaml:89	already valid	zong1	ok
互	vu8	1	ruianese.character_01.dict.yaml:90	already valid	vu8	ok
末	me7	1	ruianese.character_01.dict.yaml:92	meu7->me7	meu7	converted
未	vei8	1	ruianese.character_01.dict.yaml:93	already valid	vei8	ok
擊	jie3	1	ruianese.character_01.dict.yaml:94	already valid; 击的正字	jie3	ok
正	zeng4	1	ruianese.character_01.dict.yaml:95	already valid	zeng4	ok
正	zeng1	1	ruianese.character_01.dict.yaml:96	already valid	zeng1	ok
甘	ge1	1	ruianese.character_01.dict.yaml:97	geu1->ge1	geu1	converted
且	cei2	1	ruianese.character_01.dict.yaml:98	already valid	cei2	ok
且	zou1	1	ruianese.character_01.dict.yaml:99	already valid	zou1	ok
可	koe2	1	ruianese.character_01.dict.yaml:100	koo2->koe2	koo2	converted
可	koe4	1	ruianese.character_01.dict.yaml:101	koo4->koe4	koo4	converted
冊	ca3	1	ruianese.character_01.dict.yaml:102	already valid; 册的正字	ca3	ok
丙	beng2	1	ruianese.character_01.dict.yaml:103	already valid	beng2	ok
平	beng5	1	ruianese.character_01.dict.yaml:104	already valid	beng5	ok
東	dong1	1	ruianese.character_01.dict.yaml:105	already valid; 东的正字	dong1	ok
絲	si1	1	ruianese.character_01.dict.yaml:106	already valid; 丝的正字	si1	ok
攷	kae2	1	ruianese.character_01.dict.yaml:108	already valid	kae2	ok
考	kae2	1	ruianese.character_01.dict.yaml:109	already valid	kae2	ok
老	lae6	1	ruianese.character_01.dict.yaml:110	already valid	lae6	ok
共	jjyo8	1	ruianese.character_01.dict.yaml:111	already valid	jjyo8	ok
共	jyo1	1	ruianese.character_01.dict.yaml:112	already valid; 共工	jyo1	ok
亞	oe4	1	ruianese.character_01.dict.yaml:113	oo4->oe4	oo4	converted
亙	gang4	1	ruianese.character_01.dict.yaml:114	already valid; 亘的正字	gang4	ok
吏	lei8	1	ruianese.character_01.dict.yaml:115	already valid	lei8	ok
再	zei4	1	ruianese.character_01.dict.yaml:116	already valid; #	zei4	ok
在	zzei6	1	ruianese.character_01.dict.yaml:117	already valid; #	zzei6	ok
百	ba3	1	ruianese.character_01.dict.yaml:118	already valid	ba3	ok
有	iao6	1	ruianese.character_01.dict.yaml:119	already valid	iao6	ok
有	iao8	1	ruianese.character_01.dict.yaml:120	already valid; 吾十有五	iao8	ok
而	zzi5	1	ruianese.character_01.dict.yaml:121	already valid	zzi5	ok
死	si2	1	ruianese.character_01.dict.yaml:122	already valid	si2	ok
夷	xi2	1	ruianese.character_01.dict.yaml:123	xyii2->xi2	xyii2	converted
夷	i2	1	ruianese.character_01.dict.yaml:124	ii2->i2	ii2	converted
丞	zeng5	1	ruianese.character_01.dict.yaml:125	already valid	zeng5	ok
堯	nyo5	1	ruianese.character_01.dict.yaml:126	already valid	nyo5	ok
至	zi4	1	ruianese.character_01.dict.yaml:127	already valid	zi4	ok
嚴	nji5	1	ruianese.character_01.dict.yaml:129	nyi5->nji5; 严的正字	nyi5	converted
巫	vju5	1	ruianese.character_01.dict.yaml:130	no valid mapping; tried vju5	vju5	unresolved
求	jjiao5	1	ruianese.character_01.dict.yaml:131	already valid	jjiao5	ok
甫	fu2	1	ruianese.character_01.dict.yaml:132	fvu2->fu2	fvu2	converted
更	ga1	1	ruianese.character_01.dict.yaml:133	already valid	ga1	ok
更	ga4	1	ruianese.character_01.dict.yaml:134	already valid	ga4	ok
束	xjuo3	1	ruianese.character_01.dict.yaml:135	no valid mapping; tried xjuo3	xjuo3	unresolved
兩	la6	1	ruianese.character_01.dict.yaml:136	already valid	la6	ok
兩	liae6	1	ruianese.character_01.dict.yaml:137	already valid	liae6	ok
麗	lei8	1	ruianese.character_01.dict.yaml:138	already valid	lei8	ok
麗	lei5	1	ruianese.character_01.dict.yaml:139	already valid	lei5	ok
來	lei5	1	ruianese.character_01.dict.yaml:140	already valid; #	lei5	ok
奉	vong6	1	ruianese.character_01.dict.yaml:142	already valid	vong6	ok
